Timing,Xms,Xmx,GCollector
5.848958,256,256,UseG1GC
8.5625,256,384,UseG1GC
6.723958,256,512,UseG1GC
6.625,256,640,UseG1GC
6.867188,256,768,UseG1GC
6.114583,256,896,UseG1GC
5.924479,256,1024,UseG1GC
6.072917,256,1152,UseG1GC
6.151042,256,1280,UseG1GC
6.072917,256,1408,UseG1GC
5.932292,256,1536,UseG1GC
6.666667,256,1664,UseG1GC
6.023438,256,1792,UseG1GC
5.65625,256,1920,UseG1GC
0.1484375,384,256,UseG1GC
7.9375,384,384,UseG1GC
6.109375,384,512,UseG1GC
6.309896,384,640,UseG1GC
6.432292,384,768,UseG1GC
6.026042,384,896,UseG1GC
6.036458,384,1024,UseG1GC
5.979167,384,1152,UseG1GC
6.057292,384,1280,UseG1GC
5.778646,384,1408,UseG1GC
5.971354,384,1536,UseG1GC
5.677083,384,1664,UseG1GC
5.619792,384,1792,UseG1GC
5.635417,384,1920,UseG1GC
0.1041667,512,256,UseG1GC
9.635416E-02,512,384,UseG1GC
6.328125,512,512,UseG1GC
6.333333,512,640,UseG1GC
5.966146,512,768,UseG1GC
5.96875,512,896,UseG1GC
5.96875,512,1024,UseG1GC
6.0625,512,1152,UseG1GC
6.036458,512,1280,UseG1GC
5.627604,512,1408,UseG1GC
5.835938,512,1536,UseG1GC
5.768229,512,1664,UseG1GC
5.84375,512,1792,UseG1GC
5.648438,512,1920,UseG1GC
9.895834E-02,640,256,UseG1GC
8.854166E-02,640,384,UseG1GC
9.895834E-02,640,512,UseG1GC
5.901042,640,640,UseG1GC
5.854167,640,768,UseG1GC
5.986979,640,896,UseG1GC
5.833333,640,1024,UseG1GC
6.260417,640,1152,UseG1GC
6.151042,640,1280,UseG1GC
6.546875,640,1408,UseG1GC
6.164063,640,1536,UseG1GC
6.526042,640,1664,UseG1GC
6.635417,640,1792,UseG1GC
6.786458,640,1920,UseG1GC
0.1354167,768,256,UseG1GC
0.1041667,768,384,UseG1GC
0.1354167,768,512,UseG1GC
0.1276042,768,640,UseG1GC
6.177083,768,768,UseG1GC
6.283854,768,896,UseG1GC
6.153646,768,1024,UseG1GC
6.520833,768,1152,UseG1GC
6.434896,768,1280,UseG1GC
6.476563,768,1408,UseG1GC
6.463542,768,1536,UseG1GC
6.065104,768,1664,UseG1GC
6.265625,768,1792,UseG1GC
6.440104,768,1920,UseG1GC
0.1197917,896,256,UseG1GC
0.1458333,896,384,UseG1GC
0.125,896,512,UseG1GC
0.1666667,896,640,UseG1GC
0.1197917,896,768,UseG1GC
6.289063,896,896,UseG1GC
6.216146,896,1024,UseG1GC
6.578125,896,1152,UseG1GC
6.463542,896,1280,UseG1GC
6.299479,896,1408,UseG1GC
6.111979,896,1536,UseG1GC
6.072917,896,1664,UseG1GC
6.302083,896,1792,UseG1GC
6.296875,896,1920,UseG1GC
0.1145833,1024,256,UseG1GC
0.1145833,1024,384,UseG1GC
0.1302083,1024,512,UseG1GC
9.635416E-02,1024,640,UseG1GC
0.1015625,1024,768,UseG1GC
0.1119792,1024,896,UseG1GC
6.205729,1024,1024,UseG1GC
6.125,1024,1152,UseG1GC
6.200521,1024,1280,UseG1GC
6.010417,1024,1408,UseG1GC
6.044271,1024,1536,UseG1GC
6.265625,1024,1664,UseG1GC
6.3125,1024,1792,UseG1GC
6.268229,1024,1920,UseG1GC
0.1354167,1152,256,UseG1GC
0.1354167,1152,384,UseG1GC
9.895834E-02,1152,512,UseG1GC
0.109375,1152,640,UseG1GC
0.1380208,1152,768,UseG1GC
0.1953125,1152,896,UseG1GC
0.1015625,1152,1024,UseG1GC
5.664063,1152,1152,UseG1GC
5.825521,1152,1280,UseG1GC
5.632813,1152,1408,UseG1GC
5.494792,1152,1536,UseG1GC
5.591146,1152,1664,UseG1GC
5.648438,1152,1792,UseG1GC
5.557292,1152,1920,UseG1GC
0.109375,1280,256,UseG1GC
0.1041667,1280,384,UseG1GC
9.895834E-02,1280,512,UseG1GC
0.09375,1280,640,UseG1GC
0.109375,1280,768,UseG1GC
9.895834E-02,1280,896,UseG1GC
9.895834E-02,1280,1024,UseG1GC
0.09375,1280,1152,UseG1GC
5.354167,1280,1280,UseG1GC
5.640625,1280,1408,UseG1GC
5.380208,1280,1536,UseG1GC
5.619792,1280,1664,UseG1GC
5.736979,1280,1792,UseG1GC
5.153646,1280,1920,UseG1GC
0.1145833,1408,256,UseG1GC
0.1015625,1408,384,UseG1GC
0.1067708,1408,512,UseG1GC
0.1041667,1408,640,UseG1GC
0.09375,1408,768,UseG1GC
9.895834E-02,1408,896,UseG1GC
0.1041667,1408,1024,UseG1GC
9.114584E-02,1408,1152,UseG1GC
0.09375,1408,1280,UseG1GC
5.385417,1408,1408,UseG1GC
5.442708,1408,1536,UseG1GC
5.421875,1408,1664,UseG1GC
5.510417,1408,1792,UseG1GC
4.679688,1408,1920,UseG1GC
0.109375,1536,256,UseG1GC
9.895834E-02,1536,384,UseG1GC
0.109375,1536,512,UseG1GC
9.895834E-02,1536,640,UseG1GC
9.895834E-02,1536,768,UseG1GC
9.895834E-02,1536,896,UseG1GC
0.09375,1536,1024,UseG1GC
0.1041667,1536,1152,UseG1GC
0.09375,1536,1280,UseG1GC
9.895834E-02,1536,1408,UseG1GC
5.341146,1536,1536,UseG1GC
5.382813,1536,1664,UseG1GC
4.981771,1536,1792,UseG1GC
4.75,1536,1920,UseG1GC
0.1197917,1664,256,UseG1GC
0.109375,1664,384,UseG1GC
