Timing,Xms,Xmx,GCollector
0.7875,256,256,UseG1GC
0.7796875,256,384,UseG1GC
0.778125,256,512,UseG1GC
0.8078125,256,640,UseG1GC
0.828125,256,768,UseG1GC
0.86875,256,896,UseG1GC
0.865625,256,1024,UseG1GC
0.9578125,256,1152,UseG1GC
1.1125,256,1280,UseG1GC
1.139063,256,1408,UseG1GC
0.9953125,256,1536,UseG1GC
1.0875,256,1664,UseG1GC
1.029688,256,1792,UseG1GC
1.0375,256,1920,UseG1GC
0.153125,384,256,UseG1GC
1.096875,384,384,UseG1GC
1.048437,384,512,UseG1GC
1.028125,384,640,UseG1GC
1.035938,384,768,UseG1GC
1.03125,384,896,UseG1GC
1.075,384,1024,UseG1GC
1.059375,384,1152,UseG1GC
1.154688,384,1280,UseG1GC
1.03125,384,1408,UseG1GC
0.9828125,384,1536,UseG1GC
0.953125,384,1664,UseG1GC
0.9546875,384,1792,UseG1GC
0.96875,384,1920,UseG1GC
0.134375,512,256,UseG1GC
0.109375,512,384,UseG1GC
0.975,512,512,UseG1GC
1.010937,512,640,UseG1GC
0.9984375,512,768,UseG1GC
1.017187,512,896,UseG1GC
0.9890625,512,1024,UseG1GC
1.010937,512,1152,UseG1GC
1.035938,512,1280,UseG1GC
0.9484375,512,1408,UseG1GC
1.06875,512,1536,UseG1GC
1.014063,512,1664,UseG1GC
1.009375,512,1792,UseG1GC
0.96875,512,1920,UseG1GC
0.1328125,640,256,UseG1GC
0.15,640,384,UseG1GC
0.13125,640,512,UseG1GC
1.05625,640,640,UseG1GC
1.059375,640,768,UseG1GC
1.015625,640,896,UseG1GC
0.9875,640,1024,UseG1GC
1.004688,640,1152,UseG1GC
1.075,640,1280,UseG1GC
1.042187,640,1408,UseG1GC
1.015625,640,1536,UseG1GC
0.9546875,640,1664,UseG1GC
0.9765625,640,1792,UseG1GC
0.9640625,640,1920,UseG1GC
0.146875,768,256,UseG1GC
0.115625,768,384,UseG1GC
0.146875,768,512,UseG1GC
0.1359375,768,640,UseG1GC
0.93125,768,768,UseG1GC
1.009375,768,896,UseG1GC
0.996875,768,1024,UseG1GC
1.021875,768,1152,UseG1GC
0.9890625,768,1280,UseG1GC
1.2,768,1408,UseG1GC
1.051563,768,1536,UseG1GC
0.9453125,768,1664,UseG1GC
0.996875,768,1792,UseG1GC
0.98125,768,1920,UseG1GC
0.1359375,896,256,UseG1GC
0.121875,896,384,UseG1GC
0.128125,896,512,UseG1GC
0.134375,896,640,UseG1GC
0.128125,896,768,UseG1GC
0.9640625,896,896,UseG1GC
1.104687,896,1024,UseG1GC
0.9890625,896,1152,UseG1GC
0.9640625,896,1280,UseG1GC
1.001562,896,1408,UseG1GC
1.004688,896,1536,UseG1GC
1.0875,896,1664,UseG1GC
0.965625,896,1792,UseG1GC
0.9578125,896,1920,UseG1GC
0.1359375,1024,256,UseG1GC
0.140625,1024,384,UseG1GC
0.1328125,1024,512,UseG1GC
0.1390625,1024,640,UseG1GC
0.1390625,1024,768,UseG1GC
0.128125,1024,896,UseG1GC
1.014063,1024,1024,UseG1GC
0.9859375,1024,1152,UseG1GC
1.021875,1024,1280,UseG1GC
1.0125,1024,1408,UseG1GC
1.020313,1024,1536,UseG1GC
1.017187,1024,1664,UseG1GC
0.9671875,1024,1792,UseG1GC
0.98125,1024,1920,UseG1GC
0.134375,1152,256,UseG1GC
0.15,1152,384,UseG1GC
0.14375,1152,512,UseG1GC
0.125,1152,640,UseG1GC
0.1125,1152,768,UseG1GC
0.1203125,1152,896,UseG1GC
0.1328125,1152,1024,UseG1GC
1.035938,1152,1152,UseG1GC
1.009375,1152,1280,UseG1GC
1.014063,1152,1408,UseG1GC
1.032812,1152,1536,UseG1GC
1.057812,1152,1664,UseG1GC
1.03125,1152,1792,UseG1GC
0.996875,1152,1920,UseG1GC
0.128125,1280,256,UseG1GC
0.1265625,1280,384,UseG1GC
0.1203125,1280,512,UseG1GC
0.1328125,1280,640,UseG1GC
0.134375,1280,768,UseG1GC
0.128125,1280,896,UseG1GC
0.11875,1280,1024,UseG1GC
0.128125,1280,1152,UseG1GC
1.007813,1280,1280,UseG1GC
0.9984375,1280,1408,UseG1GC
1.014063,1280,1536,UseG1GC
1.03125,1280,1664,UseG1GC
0.996875,1280,1792,UseG1GC
0.996875,1280,1920,UseG1GC
0.1375,1408,256,UseG1GC
0.1359375,1408,384,UseG1GC
0.128125,1408,512,UseG1GC
0.134375,1408,640,UseG1GC
0.1421875,1408,768,UseG1GC
0.1234375,1408,896,UseG1GC
0.13125,1408,1024,UseG1GC
0.134375,1408,1152,UseG1GC
0.13125,1408,1280,UseG1GC
1.023438,1408,1408,UseG1GC
0.99375,1408,1536,UseG1GC
0.9984375,1408,1664,UseG1GC
1.001562,1408,1792,UseG1GC
1.021875,1408,1920,UseG1GC
0.1234375,1536,256,UseG1GC
0.1265625,1536,384,UseG1GC
0.128125,1536,512,UseG1GC
0.125,1536,640,UseG1GC
0.11875,1536,768,UseG1GC
0.1203125,1536,896,UseG1GC
0.128125,1536,1024,UseG1GC
0.1375,1536,1152,UseG1GC
0.1359375,1536,1280,UseG1GC
0.115625,1536,1408,UseG1GC
1.0375,1536,1536,UseG1GC
0.975,1536,1664,UseG1GC
1.042187,1536,1792,UseG1GC
1.035938,1536,1920,UseG1GC
0.134375,1664,256,UseG1GC
0.14375,1664,384,UseG1GC
0.140625,1664,512,UseG1GC
0.1296875,1664,640,UseG1GC
0.1421875,1664,768,UseG1GC
0.1359375,1664,896,UseG1GC
0.1140625,1664,1024,UseG1GC
0.140625,1664,1152,UseG1GC
0.1375,1664,1280,UseG1GC
0.1359375,1664,1408,UseG1GC
0.1390625,1664,1536,UseG1GC
1.015625,1664,1664,UseG1GC
1,1664,1792,UseG1GC
1.045313,1664,1920,UseG1GC
0.125,1792,256,UseG1GC
0.1359375,1792,384,UseG1GC
0.13125,1792,512,UseG1GC
0.1421875,1792,640,UseG1GC
0.13125,1792,768,UseG1GC
0.128125,1792,896,UseG1GC
0.1375,1792,1024,UseG1GC
0.134375,1792,1152,UseG1GC
0.1453125,1792,1280,UseG1GC
0.1109375,1792,1408,UseG1GC
0.13125,1792,1536,UseG1GC
0.1296875,1792,1664,UseG1GC
1,1792,1792,UseG1GC
1.034375,1792,1920,UseG1GC
0.1234375,1920,256,UseG1GC
0.1375,1920,384,UseG1GC
0.134375,1920,512,UseG1GC
0.1421875,1920,640,UseG1GC
0.13125,1920,768,UseG1GC
0.134375,1920,896,UseG1GC
0.134375,1920,1024,UseG1GC
0.134375,1920,1152,UseG1GC
0.1234375,1920,1280,UseG1GC
0.1171875,1920,1408,UseG1GC
0.1390625,1920,1536,UseG1GC
0.1359375,1920,1664,UseG1GC
0.1296875,1920,1792,UseG1GC
1.03125,1920,1920,UseG1GC
1.017187,256,256,UseSerialGC
0.9625,256,384,UseSerialGC
0.94375,256,512,UseSerialGC
0.9453125,256,640,UseSerialGC
0.9671875,256,768,UseSerialGC
1.001562,256,896,UseSerialGC
0.984375,256,1024,UseSerialGC
1.028125,256,1152,UseSerialGC
1.003125,256,1280,UseSerialGC
0.9796875,256,1408,UseSerialGC
0.975,256,1536,UseSerialGC
1.017187,256,1664,UseSerialGC
0.9515625,256,1792,UseSerialGC
0.9671875,256,1920,UseSerialGC
0.1125,384,256,UseSerialGC
0.9859375,384,384,UseSerialGC
0.9828125,384,512,UseSerialGC
1.017187,384,640,UseSerialGC
0.95625,384,768,UseSerialGC
0.971875,384,896,UseSerialGC
0.9453125,384,1024,UseSerialGC
0.996875,384,1152,UseSerialGC
0.996875,384,1280,UseSerialGC
0.965625,384,1408,UseSerialGC
0.975,384,1536,UseSerialGC
0.9875,384,1664,UseSerialGC
1,384,1792,UseSerialGC
0.94375,384,1920,UseSerialGC
0.121875,512,256,UseSerialGC
0.1171875,512,384,UseSerialGC
0.990625,512,512,UseSerialGC
0.9734375,512,640,UseSerialGC
0.9265625,512,768,UseSerialGC
0.996875,512,896,UseSerialGC
0.9828125,512,1024,UseSerialGC
0.9953125,512,1152,UseSerialGC
0.9828125,512,1280,UseSerialGC
0.9796875,512,1408,UseSerialGC
1.03125,512,1536,UseSerialGC
1.153125,512,1664,UseSerialGC
1.032812,512,1792,UseSerialGC
1.0125,512,1920,UseSerialGC
0.1625,640,256,UseSerialGC
0.153125,640,384,UseSerialGC
0.1140625,640,512,UseSerialGC
1.073437,640,640,UseSerialGC
1.028125,640,768,UseSerialGC
1.009375,640,896,UseSerialGC
1.025,640,1024,UseSerialGC
1.06875,640,1152,UseSerialGC
1.045313,640,1280,UseSerialGC
1.215625,640,1408,UseSerialGC
0.9609375,640,1536,UseSerialGC
0.9890625,640,1664,UseSerialGC
1.0375,640,1792,UseSerialGC
1.082813,640,1920,UseSerialGC
0.175,768,256,UseSerialGC
0.159375,768,384,UseSerialGC
0.146875,768,512,UseSerialGC
0.16875,768,640,UseSerialGC
1.139063,768,768,UseSerialGC
1.192188,768,896,UseSerialGC
1.104687,768,1024,UseSerialGC
1.101563,768,1152,UseSerialGC
1.064062,768,1280,UseSerialGC
1.135937,768,1408,UseSerialGC
1.08125,768,1536,UseSerialGC
1.1375,768,1664,UseSerialGC
1.217188,768,1792,UseSerialGC
1.140625,768,1920,UseSerialGC
0.1625,896,256,UseSerialGC
0.1296875,896,384,UseSerialGC
0.1328125,896,512,UseSerialGC
0.1609375,896,640,UseSerialGC
0.1546875,896,768,UseSerialGC
1.146875,896,896,UseSerialGC
1.08125,896,1024,UseSerialGC
1.185938,896,1152,UseSerialGC
1.254688,896,1280,UseSerialGC
1.153125,896,1408,UseSerialGC
1.034375,896,1536,UseSerialGC
1.160938,896,1664,UseSerialGC
1.204687,896,1792,UseSerialGC
1.210938,896,1920,UseSerialGC
0.146875,1024,256,UseSerialGC
0.1828125,1024,384,UseSerialGC
0.1921875,1024,512,UseSerialGC
0.159375,1024,640,UseSerialGC
0.1671875,1024,768,UseSerialGC
0.1484375,1024,896,UseSerialGC
1.151562,1024,1024,UseSerialGC
1.110937,1024,1152,UseSerialGC
1.126562,1024,1280,UseSerialGC
1.096875,1024,1408,UseSerialGC
1.115625,1024,1536,UseSerialGC
1.196875,1024,1664,UseSerialGC
1.18125,1024,1792,UseSerialGC
1.16875,1024,1920,UseSerialGC
0.1640625,1152,256,UseSerialGC
0.175,1152,384,UseSerialGC
0.171875,1152,512,UseSerialGC
0.1671875,1152,640,UseSerialGC
0.1515625,1152,768,UseSerialGC
0.18125,1152,896,UseSerialGC
0.15625,1152,1024,UseSerialGC
1.1875,1152,1152,UseSerialGC
1.15,1152,1280,UseSerialGC
1.0875,1152,1408,UseSerialGC
1.159375,1152,1536,UseSerialGC
1.098438,1152,1664,UseSerialGC
1.1,1152,1792,UseSerialGC
1.126562,1152,1920,UseSerialGC
0.15625,1280,256,UseSerialGC
0.1703125,1280,384,UseSerialGC
0.159375,1280,512,UseSerialGC
0.1734375,1280,640,UseSerialGC
0.165625,1280,768,UseSerialGC
0.159375,1280,896,UseSerialGC
0.14375,1280,1024,UseSerialGC
0.1703125,1280,1152,UseSerialGC
1.195313,1280,1280,UseSerialGC
1.129688,1280,1408,UseSerialGC
1.1,1280,1536,UseSerialGC
1.15625,1280,1664,UseSerialGC
1.08125,1280,1792,UseSerialGC
1.09375,1280,1920,UseSerialGC
0.15,1408,256,UseSerialGC
0.175,1408,384,UseSerialGC
0.1578125,1408,512,UseSerialGC
0.153125,1408,640,UseSerialGC
0.1453125,1408,768,UseSerialGC
0.184375,1408,896,UseSerialGC
0.15,1408,1024,UseSerialGC
0.16875,1408,1152,UseSerialGC
0.146875,1408,1280,UseSerialGC
1.090625,1408,1408,UseSerialGC
1.134375,1408,1536,UseSerialGC
1.128125,1408,1664,UseSerialGC
1.13125,1408,1792,UseSerialGC
1.142187,1408,1920,UseSerialGC
0.1546875,1536,256,UseSerialGC
0.1375,1536,384,UseSerialGC
0.15625,1536,512,UseSerialGC
0.1921875,1536,640,UseSerialGC
0.1515625,1536,768,UseSerialGC
0.15625,1536,896,UseSerialGC
0.184375,1536,1024,UseSerialGC
0.171875,1536,1152,UseSerialGC
0.1625,1536,1280,UseSerialGC
0.16875,1536,1408,UseSerialGC
1.190625,1536,1536,UseSerialGC
1.184375,1536,1664,UseSerialGC
1.23125,1536,1792,UseSerialGC
