Timing,Xms,Xmx,GCollector
2.492188,256,256,UseG1GC
2.169271,256,384,UseG1GC
2.0625,256,512,UseG1GC
1.986979,256,640,UseG1GC
1.794271,256,768,UseG1GC
1.664063,256,896,UseG1GC
1.815104,256,1024,UseG1GC
1.78125,256,1152,UseG1GC
1.794271,256,1280,UseG1GC
1.986979,256,1408,UseG1GC
2.013021,256,1536,UseG1GC
1.940104,256,1664,UseG1GC
1.890625,256,1792,UseG1GC
1.898438,256,1920,UseG1GC
0.1510417,384,256,UseG1GC
1.817708,384,384,UseG1GC
1.932292,384,512,UseG1GC
2.005208,384,640,UseG1GC
1.726563,384,768,UseG1GC
1.768229,384,896,UseG1GC
1.945313,384,1024,UseG1GC
1.861979,384,1152,UseG1GC
2.002604,384,1280,UseG1GC
1.867188,384,1408,UseG1GC
1.864583,384,1536,UseG1GC
1.736979,384,1664,UseG1GC
1.817708,384,1792,UseG1GC
1.802083,384,1920,UseG1GC
0.1588542,512,256,UseG1GC
0.1119792,512,384,UseG1GC
1.822917,512,512,UseG1GC
1.880208,512,640,UseG1GC
1.765625,512,768,UseG1GC
1.794271,512,896,UseG1GC
1.911458,512,1024,UseG1GC
1.791667,512,1152,UseG1GC
1.825521,512,1280,UseG1GC
1.770833,512,1408,UseG1GC
1.835938,512,1536,UseG1GC
1.872396,512,1664,UseG1GC
1.760417,512,1792,UseG1GC
1.84375,512,1920,UseG1GC
0.1848958,640,256,UseG1GC
0.1302083,640,384,UseG1GC
0.1979167,640,512,UseG1GC
1.760417,640,640,UseG1GC
1.854167,640,768,UseG1GC
1.742188,640,896,UseG1GC
1.760417,640,1024,UseG1GC
1.752604,640,1152,UseG1GC
1.651042,640,1280,UseG1GC
1.697917,640,1408,UseG1GC
1.765625,640,1536,UseG1GC
1.880208,640,1664,UseG1GC
1.742188,640,1792,UseG1GC
1.830729,640,1920,UseG1GC
0.15625,768,256,UseG1GC
0.1666667,768,384,UseG1GC
0.1197917,768,512,UseG1GC
0.1302083,768,640,UseG1GC
1.833333,768,768,UseG1GC
1.825521,768,896,UseG1GC
1.65625,768,1024,UseG1GC
1.911458,768,1152,UseG1GC
1.942708,768,1280,UseG1GC
1.947917,768,1408,UseG1GC
1.981771,768,1536,UseG1GC
1.940104,768,1664,UseG1GC
2,768,1792,UseG1GC
2.046875,768,1920,UseG1GC
0.1380208,896,256,UseG1GC
0.125,896,384,UseG1GC
0.1197917,896,512,UseG1GC
0.1510417,896,640,UseG1GC
0.1614583,896,768,UseG1GC
1.799479,896,896,UseG1GC
1.765625,896,1024,UseG1GC
1.875,896,1152,UseG1GC
1.919271,896,1280,UseG1GC
1.846354,896,1408,UseG1GC
1.992188,896,1536,UseG1GC
1.848958,896,1664,UseG1GC
1.932292,896,1792,UseG1GC
2.104167,896,1920,UseG1GC
0.140625,1024,256,UseG1GC
0.140625,1024,384,UseG1GC
0.1380208,1024,512,UseG1GC
0.1510417,1024,640,UseG1GC
0.1510417,1024,768,UseG1GC
0.125,1024,896,UseG1GC
1.802083,1024,1024,UseG1GC
1.898438,1024,1152,UseG1GC
1.747396,1024,1280,UseG1GC
1.778646,1024,1408,UseG1GC
1.807292,1024,1536,UseG1GC
1.809896,1024,1664,UseG1GC
1.809896,1024,1792,UseG1GC
1.903646,1024,1920,UseG1GC
0.1484375,1152,256,UseG1GC
0.1380208,1152,384,UseG1GC
0.1536458,1152,512,UseG1GC
0.1302083,1152,640,UseG1GC
0.1223958,1152,768,UseG1GC
0.1302083,1152,896,UseG1GC
0.1302083,1152,1024,UseG1GC
1.864583,1152,1152,UseG1GC
1.895833,1152,1280,UseG1GC
1.898438,1152,1408,UseG1GC
1.911458,1152,1536,UseG1GC
1.703125,1152,1664,UseG1GC
2.09375,1152,1792,UseG1GC
2.114583,1152,1920,UseG1GC
0.1354167,1280,256,UseG1GC
0.140625,1280,384,UseG1GC
0.1588542,1280,512,UseG1GC
0.1510417,1280,640,UseG1GC
0.1614583,1280,768,UseG1GC
0.1328125,1280,896,UseG1GC
0.1432292,1280,1024,UseG1GC
0.1640625,1280,1152,UseG1GC
1.867188,1280,1280,UseG1GC
1.927083,1280,1408,UseG1GC
1.927083,1280,1536,UseG1GC
2.023438,1280,1664,UseG1GC
1.958333,1280,1792,UseG1GC
1.984375,1280,1920,UseG1GC
0.140625,1408,256,UseG1GC
0.1328125,1408,384,UseG1GC
0.1458333,1408,512,UseG1GC
0.1223958,1408,640,UseG1GC
0.1640625,1408,768,UseG1GC
0.1067708,1408,896,UseG1GC
0.1302083,1408,1024,UseG1GC
0.1354167,1408,1152,UseG1GC
0.1328125,1408,1280,UseG1GC
1.924479,1408,1408,UseG1GC
2.023438,1408,1536,UseG1GC
1.976563,1408,1664,UseG1GC
2.03125,1408,1792,UseG1GC
2.052083,1408,1920,UseG1GC
0.125,1536,256,UseG1GC
0.1510417,1536,384,UseG1GC
0.1197917,1536,512,UseG1GC
0.1536458,1536,640,UseG1GC
0.1510417,1536,768,UseG1GC
0.1302083,1536,896,UseG1GC
0.1302083,1536,1024,UseG1GC
0.1276042,1536,1152,UseG1GC
0.1145833,1536,1280,UseG1GC
0.1458333,1536,1408,UseG1GC
1.929688,1536,1536,UseG1GC
1.997396,1536,1664,UseG1GC
1.9375,1536,1792,UseG1GC
2.044271,1536,1920,UseG1GC
0.125,1664,256,UseG1GC
0.1197917,1664,384,UseG1GC
0.1354167,1664,512,UseG1GC
0.1223958,1664,640,UseG1GC
0.140625,1664,768,UseG1GC
0.125,1664,896,UseG1GC
0.1328125,1664,1024,UseG1GC
0.1328125,1664,1152,UseG1GC
0.140625,1664,1280,UseG1GC
0.1380208,1664,1408,UseG1GC
0.1510417,1664,1536,UseG1GC
1.958333,1664,1664,UseG1GC
